Name,User,Message,Profile,Age,Character Art,Embed Color,Identity,Known History,Origin,Other Names,Physical Description,Pronouns,Species,Theme
Mimsim Samak,594008151779573762,1252105617481535744,4e0722a7-3cd3-48dd-87da-493749886b76,22,https://media.discordapp.net/attachments/1200710210365431870/1251434332023820370/Mimsin_Art.png?ex=66708acb&is=666f394b&hm=e9bfa7d91d08ab7838b4f05708f539131ee9328acb26f12da3d55b586e996ebf&=&format=webp&quality=lossless&width=&height=,,Nimble Renegade Rodmaster,"Child of a family who trades aquatic goods in and out of Skuala, both through mercantile middlemanagement and the ownership of many fishermen. The Samak family treats those slaves with the standard one is to expect in Nezmira - a standard that Mimsim came to resent.
They speak out against this treatment and do what they can to thwart those who revel in it. This has often motivated them to light vigilantism with their implement of choice - an ordinary fishing rod.","Skuala, Nezmira",,"A not-so-imposing nezzim. They're barely five feet tall, and carry a fishing rod of similar length instead of a weapon. Mimsim dresses in drab, baggy clothes that go well with their dusty scales and makes their bright yellow eyes stand out.",They/them,Nezzim,Justice
Miruna 'Rue Dzata,789352847505489981,1359571766648770560,f60b982d-0ff8-4840-b2b5-38bf6d3e9bd0,18,https://i.imgur.com/gCzAZGY.jpeg,,"A daughter of Akala, instrument of fear","- Born into the Dzata family, the closest thing to a noble or royal house in Akala city, mama is Dzata and mother a warden from Heartdom.

- Was more protected than most Dreadlan people, protected by her status, her three eyes, and her parents, but in a place where might makes right she quickly discovered that she needed to hold her own somehow.

- Was sent to Gnosis academy to grow stronger and become the best Paladin she could.

- Became a Regalia :)","Dreadlan, Kaiway",The Ruin,"Pale, with blue eyes, blue hair, even a natural blue tint to her lips. her pointed ears and her third eye hidden half way behind her bangs betraying her not completely human origins. 
Always dressed smartly, and with a posture that takes advantage of every inch of her 5' nothing stature.",She/Her,Human adjacent,Connection
Mitaria,177644371695501312,1182551074561867776,b2790fdd-6c8e-4202-a5f6-de0b7d5f9d46,29,https://media.discordapp.net/attachments/926219325856153690/1182550986506645514/Samurai_spear.jpg?ex=663b0a6d&is=6639b8ed&hm=d7a669e68ed15f99ee849baaf5fcf2eea5c06ee94b98cee83438ccf801f56f56&,,Sellsword from an old and forgotten army,"Lost after a battle that saw many of his fellow soldiers fall overwhelming odds, Mitaria wandered, or at least attempt to wander back home only to find those seeing a his tattered uniform as the sign of a defeated loser. With little to no sympathy to his plight, Mitaria became a wandering mercenary for his services. Sometimes playing bodyguard, other times playing a cold hearted assassin, Mitaria gazes ever so often at the tattered feather on his helmet as it wanes and becomes more tattered as his wandering continues, forgetting the color it once was that adorned his proud head. That head now feels heavy with uncertainty and loss as he finds it harder to motivate himself to still use his skills he learned in the military each time he is hired for a job. Surely duty can still be found when one's banner is burned to ash to match the shade of color left in his very eyes.",Kor'Tarion (Thanheim),,"5'11""  196lbs",He/Him,Human,Worthiness
Mitchell Quill,200273794969894912,1297882817044283392,8624b8bd-b29e-4a2b-a902-8670c89511fc,27,https://media.discordapp.net/attachments/1170110564819816468/1203557714807095316/image.png?ex=663ba838&is=663a56b8&hm=c89d0a6f86979d13644525aee6fb0251e33d27792350b5e9ae4c95d807a9062b&,#222288,Mystery Noir Detective Novelist,"Very few know Mitchell Quill, the self-proclaimed ""greatest novelist of all time"". Those who do, however, know that he's a remarkably poor writer with little to no sales, who uses any rumors about recent adventures to write stories about a self-inserted unnamed antihero. Even fewer know about his interest in entropic magic, and even fewer still know that his delusions led him far enough to purchase a crossbow and start going on his own ""adventures"". What no one knows, however, is that during a rainstorm, he got struck by a lightning in the middle of the woods and sucked in by the Realmstorm, which, to his surprise, got him aboard the Worldhelm.","Tradefair, Kor'Tarion",,"A rather tall man with average body complexity, standing 6'2"" and weighing 168 lbs, sporting short dark brown hair and sky blue eyes, Mitchell is almost always seen wearing black. From the fedora hat to the his beloved trenchcoat, partially fingerless gloves and pants, down to the lightweight boots. The only glimpse of another color can be seen in the underlying shirt. He always carries a small leather bag with a notebook and writing utilities, usually a quill and some ink.",he/him,Human,Curiosuty
Mo Jun-Hie,80826834912018432,1342446319888764928,490e8a8f-0882-4094-87c3-dc065797b9b2,23,https://i.imgur.com/Ck1Rcvf.png,#739BD0,Solemn Painter Seeking Clarity,"Hailing from the ever-present chill of Xuanwu City. Jun-Hie is the son of Mo Tengfei, the head of the minor Clear River Sect. They specialized in archival duties and information gathering, until one the head betrayed the sect effectively wiping them out. Only Jun-Hie was left alive. He now resides in his empty home alone, working on improving his own craft.","Wujing Guo, Xuanwu City",,"A bishi'e standing at 5'10"" with white'ish scales. He is often clad in robes and fine clothing, often carrying various vials and scrolls of parchment with him. The most eyecatching thing about him is that overly large brush he can be seen carrying. Considering his origins, it is likely that such is tied to their cultivation. They carry themselves rather crudely with a gloomy sense often emanating from them.",He/Him,Bishi'e,Doubt
Mokah,237438769840652291,1314470431146905600,82c81d39-acf3-46a6-bd09-61ae1682253e,19,https://i.imgur.com/MOgXhEq.png,#2556DC,Silent Wilderness Guide,"When one travels the western region of Aldistir, they may come across a silent cloaked yokai.  This figure would use the bells on their staff to get the traveler's attention, and then guide them safely through the wilderness towards nearby villages and towns, vanishing without a word once their job is done.  Mocah lost their parents to a blizzard when they were younger, and chose to become a guide, helping the lost in the best way they can.  Too shy to speak to most people, they usually gesture with their staff in order to communicate.  Mocah lives alone in a hut in the Silver Spire mountains.  A follower of the Aesir Seraph, they're a small kindness in the harsh lands of Aldistir.","The Wing-Tree Village, Aldistir",,"Mocah is a small rabbit yokai with black and white fur covering their body.  They're usually fully covered by several layers of black cloaks, mittens, boots, and a red wooden mask.  They carry a black staff with several small bells on the top.  They're typically shy and say little, and can move very quietly.",They/Them,Yokai (Aldistir),Compassion
Monique,186680561501339651,1351776364696567808,c3270d01-1db7-4101-9a5e-36a5d71f4dbb,21,https://i.imgur.com/iUZOcxs.png,#FFD700,Cunning Trickster of the Smokey Slums,"• Monique was raised as a son of a thief in Smokeside, Hidela, after her mother disappeared 11 years ago.

• During a change of heart, she suffered a horrible accident in the middle ground from a landmine. Her father decided to leave her in the hopes that the Merrani that found her would give her a better life and away from his crime. He believed her dead after, something he regretted everyday. She survived, but lost her legs in the accident.

• Despite being a ne'er do well in general, the people of Hidela committed to her recovery, and with their help and ingenuity she relearned how to walk.

• Once she recovered, she took on a new name and new look, promising to be her authentic self and repaying the kindness of those around her forward. During her adventures, she discovered a new companion, Monique Halcyon, her soul treasure.

• After a long grueling journey of self discovery and self love, she has found belonging in the Worldhelm. As well as made peace with her disparate families.","Hidela, Lhodos",,"Monique is a woman with a staggeringly beautiful complexion, she has soft skin that holds a nice porcelain white. Her garbs are a mix of flashy and stylish streetwear and functional skullduggery gear. Keeping things cute and crafty. Her hair is a sea foam blue with a mix of her previous pink. An acknowledgement of both her previous appearance, and her old one.

She wears her father's old dated brown cloak. She also wears her old circular glasses that she had thrown off ever since she lost her soul treasure. One eye glimmers with a familiar celestial white of her twin. While the other gleans with a passionate pink.

Her eyes are like that of her fathers, cunning and determined.

Her face is dotted with a beauty mark. 

She is roughly 5'9, with an lithe figured that is practiced and toned.",She/Her,Human,Belonging
Moranoe,142973642093887488,1289643166924017664,3dd2c3d4-35bc-4b22-9327-043a93cfc751,20,https://images-ext-1.discordapp.net/external/t7ElrxOujp1RshTaG2SMhkep-4fCXh38GauyOYXXwgM/https/i.imgur.com/lhXOEBP.jpeg?format=webp&width=&height=,#64ad0d,Dragon Maid who wishes to become a Knight,"Wielding the sword and armor of the Hero of Old, Lumina, she wanders the Realms in search of Dragons to slay, all the while being a polite maid to those who need it!","Kor'Tarion, Star Peaks",,"A charming girl with dragon traits. She spots light green scales and horn nubs, the same color as her hair. She also has an extremely large and long tail. Her eyes are golden with dark vertical pupils.",She/Her,Human (?),Vengeance
Morgia Sophus,308792711274692610,1354495962386530304,14fd9250-204e-4f7d-ad26-494df3a57fdd,21,https://i.imgur.com/n9J52Bh.jpeg,,Brilliant Fey Mage,"Morgia was born as a normal human, however her heart contains a fire-attuned moonshard. Forcibly changing her form into part flame dragon. If one were to put out the flames or remove it, it's speculated she would die. 

Morgia was raised by a priest who worships Caladrius. Living in a cabin all the way out in the Farwood in near isolation. Raising her into becoming a young woman who devotes herself into healing magic, as well as apothecary.

However, recent events has forcibly removed the moonshard. Thusly her flame traits have faded away. Relying on her faith, her knowledge of medicines from multiple realms, and her resourcefulness.

But after remerging back with her Soul Treasure, she returns back to her original form. Visibly much happier nowadays.","The Farwood, Kor'Tarion",,"A woman who stands at 5'6"" ft/167 cm, with long, platinum blonde hair and green eyes. Now recently picking up a set of blue and white robes that she sewn herself one day. She has draconic horns, a large tail with fire lit at the tip, and her chest glows a fiery glow. Dressed in a white dress and carries a staff.",She/Her,Human,Ambition
Mori Cadwal,162834639080128512,1342834993642213376,4a0052a0-6c58-43d5-9a18-02649b5a42f9,23,https://cdn.picrew.me/shareImg/org/202502/626197_ZpDKL8m2.png,,Fae-Warped Chimeric Courier,"Born and raised in Brightshield, Mori spent much of her life wishing she was somewhere else; jaded with urban living and desperate to see what else the world held. This made her easy prey for the fae that abducted her.

The Veiled Stewards, as they called themselves, insisted that they were doing her a favour when they stole her from her home and reshaped her into something new. She spent her next years in their ""Menagerie"", kept within a gilded cage to sing for strange fae nobles, all while yearning for her freedom.

Her chance came when one of the Stewards' new ""catches"" proved to be too much for them to handle, and she escaped in the ensuing chaos. When she returned to the mortal world, she found that only months had passed. Her family, wary and distrustful of everything the fae touched, rejected her for what she had become.

Torn between two worlds and truly at home in neither, Mori sought out work as a courier, hoping it would provide her the feeling of freedom she yearned for.","Brightshield, Kor'Tarion",,"A short, scrawny young woman with tan skin. She sports white feathers over much of her body and two large, flight-capable wings, along with other avian and inhuman features, such as talons and sharpened teeth. She favours light, practical clothing.",She/Her,Fae Chimera,Freedom
Moritz Von-Suntower,173547590694993920,1363953820899610624,91c6ef49-e054-4fbe-ac67-59dd7ef10e6c,26,https://media.discordapp.net/attachments/554829047545331724/1363951316027576401/Moritz_First_Knight_of_Suntower.png?ex=6807e626&is=680694a6&hm=e6181deb13fe4f0b97bec77d22043c2c74058f66b330a49c43bcfc743398e3db&=&format=webp&quality=lossless&width=&height=,#C0C0C0,First Knight of Suntower,"Moritz Von-Suntower is an ex-Merrani Angel who was adopted by the retired General Charlotte Von-Hardwick. After a silent graduation from the WWA, he's had experience as a Strategic Supervisor under Commander Hailey Bennet, Commander Erich Valn, and now Prince Damian Von-Suntower. After Suntower's succession, he works at the First Knight of Suntower, swearing to make every one of his prince's (and his sister's) dream for Lhodos true! He can see the future of the people, and its a bright one.","Vale, Lhodos (Karlsguard)",Moritz Von-Hardwick,"5'7"" | 151 lbs. | Silver Eyes

Moritz is a felkin man with a perpetual smile on his face. His healthy, live frame is hugged by ambiguously ashen-toned skin. A faint apple, cinnamon, and lavender tone wafts around him. When compared to his first arrival on the ship, he his happy, healthy, and particularly clean looking.",He/Him,Felkin (Cat Demihuman),Hope
Mouse Ruba,775170431535546458,1308131602118742016,17cf52ac-7a23-43db-88a1-50a046c3e376,16,https://i.imgur.com/BzC0cqS.png,,Street Thief of the Rodent Hoodlums,"Mouse doesn't remember much before he was taken in by the Rodent Hoodlums. He wandered alleys and streets while living off the scraps of merchants and travelers. Rat picked him and trained him in the art of thievery alongside a few other kids, Hamster, Capybara, and Squirrel. Each of the kids had a special talent in the art of thievery, and Mouse was best at infiltration. He spent his years opening doors, locks, and even hearts as the scout for the gang.
On a botched attempt at a banal pickpocketing, Mouse was addressed by an adventurer and told a few stories about the world outside of Skamos. After being told the stories, the adventurer released Mouse and sent him off with a pouch of money.
With a glimmer in his eye and his heart set on dreams, Mouse returned to the Rat's Nest and promptly told Rat, ""I'm going to go on and adventure!"" Seeing the look in his eyes, Rat couldn't stop the kid, so he handed over his old gear and pointed Mouse toward his destiny.",Nezmira - Skamos,,"At a stout 147cm, Mouse lives up to his name. Short, narrow, wiry, and somehow able to sneak around undetected. He has raven-black hair and darkly tanned skin from his days running across rooftops and awnings.",He/They,Human,Hope
Msrah,299015281853071360,1291587654198099968,318381c4-0d83-4af1-be82-4043a7e58f7d,21,https://i.pinimg.com/564x/70/60/0b/70600b0e9fc297e129b81f26be6027d2.jpg,,A Free Man Chasing A Good Time,"Msrah was one out of countless slaves in the Scalefire Empire, having only ever known life under Nezzim's thumb. For years, he broke his back in manual labor and was only ever seen to be lesser. Still, he learned to find joy in simple things, such as the arts and finding beauty anywhere. It was only after the moves from outside forces that he found his chance to escape his binds, for a mystical portal could lead anywhere else. Anywhere else is better than fucking here.","The City of Scales, Nezmira",,"A younger-looking man with loose-fitting linen, Msrah is often seen with a spear by his side that he wields as if it were a dancing partner more than a weapon. Though he is a very lean figure, he has developed muscles that come with years of manual labor.",He/Him,Human,Freedom
Murdoc Allweather,210992769890648064,1194076184229728256,5088677f-1611-48a3-9c7c-58ba34376b0f,28,https://media.discordapp.net/attachments/890130934702153798/1193701857080639508/87a028f84751079abbf4e1d1569fce7c.jpg?ex=663b65bc&is=663a143c&hm=3bb17e3632b102c72eafced6f5fe00a01555efa909f41f33ead11107bb21b4c0&,,Ex-Convict Werewolf,"Murdoc was a highwayman once, traveling with a gang of roaming bandits. It was the only thing someone like him could do, but he paid the price for it in the end. His execution would have come swiftly, but then Merrane began their expansion.
Murdoc was offered a deal: His life, in exchange for serving the resistance. Naturally, he took it. His comrades never stopped eyeing him with suspicion, but he was a good soldier nonetheless. Still, he held no real loyalty to Karlsgard, so when the worldhelm came, he saw his chance and took it.","Little Ottington, Lhodos",,"A tall, toned man standing at exactly six feet tall with a body covered in scars. He has long, unkempt black hair that reaches down to his shoulders and brown eyes that are almost always accompanied by dark circles underneath. When transformed, he grows to be nearly seven feet tall, and his eye color turns to a crimson red hue. Shaggy black fur covers his entire form while his bones crack and pop as they morph to fit his new, wolflike appearance, and a lust for blood begins to permeate the air.",He/Him,Human Lycanthrope,Belonging
Musashi Shiori,169795599758131200,1363159015093440512,080fd0a2-7178-41d3-b8d0-118f9eb65685,25??,https://i.imgur.com/V7Oftjk.jpeg,,Aspirant Sage of Swords,"* Appeared out of the forest when she was probably 4 years old.

* Her adoptive parents disappeared when she was young.

* It is known she spent some time in the forests around Hanae, and that when she returned from the forest she had displayed a great deal of talent as a swordswoman. She will now say that her Father taught her all that she needed to know at the time of the Sword.

* After a journey into the Zoumeng, Horoko discovered that she is only half human, and that her other half is that of a Living Dao of the Sword.","The Zoumeng, Tian Yin",,"Shiori isn't outwardly a terribly intimidating presence. She is calm and quiet, often seen smiling when not in the middle of a battle. She wears a simple blue kimono and hakama, and carries a rather nondescript katana at her left hip. She'd almost be easy to miss if not for the striking white hair and icey blue eyes that make even her smile just a little disconcerting. Still, she seems harmless enough, and her light, cheerful voice always speaks words of encouragement and cheer.

Shiori stands with a confident posture. If there is one thing that she is sure of... it is that she is one of the best Swordsmen of any land she stands on.",She/Her,"Half Human, Half Living Dao",Ambition
Mutt,886623433306288158,1362037056221741056,c7513b36-76ca-4561-9425-19140293e940,29,https://i.imgur.com/nxeLP56.png,,Outlaw with a Bleeding Heart,"Once, wanted posters of one Jesse Blackburn, along with his infamous Knucklebone Gang, dotted the walls of every town in the wastes surrounding Bazaar. But five years ago, Jesse Blackburn was found dead in an alley, shot by one of his own men, and the gang scattered to the wind.

For years, nothing was heard of the traitor who killed Blackburn... But a couple months ago, that man-- Mathias ""Mutt"" Teixeira-- appeared at the counter of an adventurer's guild outpost, seemingly looking to make amends for his past. Why he did what he did back then, or why he has returned now, is anyone's guess, but one thing is certain: Mutt can't run from his past forever. One of these days, it's gonna catch up to him, and he best be ready when it does.","Bazaar, Aranova",,"A lean canine beastkin with black fur, blue eyes, and a lonely, taciturn aura. He sports a practical Drifter outfit, invariably along with a colorful poncho and a wide-brimmed hat.",He/Him,Beastkin,Redemption
Myffa Sirrokh,464911746088304650,1328385389886443520,80bac3e1-e953-437f-9d6a-47851c73c537,20,https://i.imgur.com/X8nxHCa.png,#48732c,Demonbound Hyperbeing Magic Artisan,"Myffa was born into the Crimson Seal merchant caravan. Her father was an eccentric magic blacksmith who secretly crafted enchanted tools and weapons. While fighting back against slavers after a betrayal, his magic sword exploded, burning both of them.

Myffa then lived as a traveling artisan and mercenary, marginalized due to the burn scars. She learned to use the remnants of the magic sword in secret, while trying to continue her father's legacy.

While on the Worldhelm, she opened a communal workshop called The Future's Anvil, alongside Enoch and Huong. Claire and Tzera are often there too.

Through the year, she became involved in Kor'Tarion. She enrolled at Hudal Academy, got stuck in her sword for a month, and acquired magic by fusing with a Fae called Icarus. She even had a shop in Brightshield for a while.

Recently, she was drawn to the Demon of Desire, Atee, and became both their priestess* and lover. But dating a demon isn't that simple...",Nezmira - South,,"A 5'6"" southern Nezmiran young woman, with burn scars on her face, torso and arms. Nowadays she wears colorful new clothes with quite a few magic accessories like rings, pendants, bracelets and more.",She/Her,Human,Faith
NYMPH,141687335241646081,,13aad2e2-6580-4f72-80a5-8358c9a7551d,27 years,https://i.imgur.com/RoTQzOB.png,,Medic of a Fallen Home,,"Dryholde, Kor'Tarion",,,She/Her,Elf,Belonging
Nai Ki'tari,247940619022893065,1341251603251986432,0c4fc3a5-3425-4aaf-8dde-22d932ac67f6,2,https://cdn.discordapp.com/attachments/1176649403470196929/1341250224449912892/image.png?ex=67b5501c&is=67b3fe9c&hm=c8a8bcb1c8b89b3065401bff6961d145860dadcf66f254d71e56e01e2699d0d7&,,Emissary of a Tribe Long Forgotten,"The being known as Nai remembers very little before about a year ago, where they awoke in a campsite to the north-east of Gwaed. They have spent the time since familiarizing themselves with the world, and following their yearn for arcane understanding. Eventually, this lead them here. 

Since then, he has overcome his fading nature and materialized as a 'real person'. He is still unsure of his nature, but no longer has a timer.",Kor'Tarion,,"Naiki'tari is a 5'7'' feline eared, tailed, and eyed man. He has short shaggy black hair, gold colored eyes, a white tipped black tale, and lightly tanned skin. They normally wear heavy white and black robes and other adornments, such as a wide brimmed hat, and heavy boots and gloves.

As of 2025/02/17, he is now missing an arm.",He/They,Demihuman,Hope
Nameless,321875283147751424,1296917513971564544,62c82ebf-eac4-42df-a711-6c3521e53de4,???,https://i.imgur.com/XJdj1p1.jpeg,,Amnesiac Martial Cultivator,"A martial artist, presumably from Tian Yin, who has forgotten everything about her past, right down to her own name. Although she possesses tremendous martial arts power within her body, most of it has been sealed away. 

She arrived on the Worldhelm without any possessions save for the clothes on her back. Devoid of memories, power, or purpose, she'll have to discover (or rediscover) herself gradually.",Somewhere in Tian Yin,,"A 5'7'', lanky girl with a wild mane of red hair and a seemingly permanent scowl. She often wears a pair of cloth handwraps and whatever clothing she can find that's easy to move in.",she/her,Human?,Purpose
Nanashi,95487748466544640,1355195307067183360,c8b89202-9463-4ab6-9976-9ffcf9f72653,19,https://i.imgur.com/A57jd3F.jpg,,Wandering Warrior of the Blade,"* Was always a fighter, whether against bullies or those who deserved it.
* Thought Kuzunoha's war was pointless. Doesn't believe in harming others who are not involved or are innocent
* Left to seek out Nimue, fighting her way there with glee and joy. Caught the attention of Lilith. Accepted her deal, and bound her power.
* Took shelter in a Blizzard when a Realmstorm came and snatched her up.","Aldistir, Wing-Tree Village",Wandering Oni,"Hair: White
Eyes: Red
Height: 165cm (5'5'')

A young woman clad in armor, with snow white hair and dark horns that protrude out of her head that contrasts with her hair. 

Though she might be smaller than other Oni, she is fierce and should be vary of what kind of smile she wears for you!",She/Her,Aldistir Oni,Battle
Naomi Falken,142973642093887488,1361664199385813248,3e3e73b7-9c5f-406b-97e5-a580e0a8e5fc,19,https://i.imgur.com/Pl2t34O.jpeg,9c0c01,The Resistance Fighter Desperate to Find a Purpose,"Once a Drake of the KPLA, Naomi gained quite a reputation for managing to find and steal a prototype mech from Merrane forces. Only, she was not nearly skilled enough to pilot it.

The mech was tragically destroyed in her last conflict, after which Naomi was deemed unfit for field-work by the KPLA.","Pikeway, Lhodos",,"A rather muscular figure, Naomi's signature characteristic is her flowing long red hair, which reach below her torso.

She usually only wears baggy and comfy clothing, enough to protect from the elements but still be comfortable enough to fight.",She/Her,Human,Belonging
Naomi Ohm,247940619022893065,1355824026852921344,b20b6ee2-662c-4379-b30a-235c37f8feab,21,https://i.imgur.com/0GTdguY.png,,Hopeless Soldier without a Path,"Naomi does not talk about her past often, but she does work for 100G Security. Besides this though, she is mostly unwilling to discuss history.","Secura, Terra","""DP - Unit #13""","Naomi is a short (5'1''), stout, gentle looking girl. She has a permanently soft, unassuming expression. She wears heavier clothing, that covers her near completely and carries around a complex sword folded a number of times on her back. Her tail pokes out the back of her coat, and grey ears poke out beneath her hair.",She/Her,Human (Bio-Modified),Direction
Nara,419689143443128321,1308868326394691584,8cc43b3b-06df-4611-9db6-3ee1abcbbde0,Unknown,https://i.imgur.com/0hdmDuK.jpeg,,The Grim Welder,"Once a yokai warlord in the War of the Fox and Hound under Kuzunoha. During that time they were a formidable force but personal tragedies led them to making a deal with a strange beast that led Nara to believe themselves likely indestructible. This hubris led to their downfall, at which time the beast appeared once more offering their gifts. Nara accepted but found themselves sealed away in a cave where memories became hazy and unclear. Eventually Nara was freed by a follower of Nimue who fought and made Nara promise to guide and help others. Even with initial reluctance Nara kept to the promise. But recent events back home in Aldistir Nara began feeling a call. Upon following the call it led them to meeting with this beast again. Here Nara was forced with a choice to accept a fate they agreed to or to reject it. Nara choosing to preserve this beast's abilities accepted and has taken on a similar form and its abilities, even if they don't yet understand them or how to use them.",Aldistir,,"An incredibly large vulpine beast standing at a towering 6' 3"" on all fours. Its body seeming to radiate with shadows that dance along its form. Its eyes white orbs with a slight glow to them and a pair of massive horns adorn their head.",They/Them,Yokai (Fox),Guidance
Narantsetseg,163635515386626049,1326337404415643648,f190a7cd-d065-465f-98cd-04b1f2938ee6,Cultivator,https://i.imgur.com/PJ0lAJb.jpeg,,The Stoic Spear,"Hailing from the Temple of Growth, she had lived under the Empty Monk's guidance for many years until she accidentally came across her own aptitude in Metal cultivation. And this frightened her law-abiding nature deep down. Their attempts to snuff it out of her began to leave a bad taste in her mouth. It wasn't until others planned to make their departure via caravan with the help of Goldhearted that she dared to leave. Having managed to leave the Temple and settle into a newly established little village they've called Daringanga, she had to find a way to continue in a way that aligned with her. With the discovery and acquisition of her main tool in deepening her practice of Metal cultivation, she decided to follow the doctrine of the Holy Harmony, making her bonded partner to be Organa, someone who opposes her default to control and order, pushing each other to grow together in their authenticity and practice.","Tian Yin, Leytik, Daringanga",,"She stands at 5'7'' with long dark hair in a half-updo'd bun. She wears a usually stoic yet serious expression, and simple, practical garments of leather and cloth for both proper warmth and maneuverability. With rough hands, she wields a heavy and ornate halberd, standing stalwart and focused.",She/her,Human,Balance
Nasim ibn Khaled,140811574737764352,1340563060544376832,11a0b5c0-e4c1-400c-8d35-b48340646e3f,20,https://i.imgur.com/KO2cK6r.png,#E0A615,"The Sandship Artisan, Building His Path To The Future","- Born in Windhaven, the City of Sandsailors.
- Sandship racer under Mustafar, the Racemaster of Windhaven, like his late father before him. Trusted enough that the Sand Serpent was a semi-permanent loan.
- Went into smuggling with Auro Benites, and continued after Auro left to join the Revolutionaries. Some of the smuggling jobs were to get people safely to the Blue.
- Was caught out by Nezzim patrols when returning from one of those trips, but a Realmstorm brought him to the Worldhelm. Suspects that Mustafar may have ratted him out, but he has no proof.
- Has pivoted towards being a sandship artisan rather than just a racer during his time on the Worldhelm. Recently reached a breakthrough after lessons from Huong Jin and Kurso Armstrong and exposure to Terran tech, allowing the Sand Serpent to fly.
- Considers the Sand Serpent his own sandship now. And with Mustafar dead after the liberation of Windhaven, there's no one to contest this.","Windhaven, Nezmira","Nasim of WIndhaven
Nasim
""Viper""","Nasim stands at around 5'10"", and has the dune-tanned skin one would expect of a human native of Nezmira.

In his Terran drip, he's rocking a tailored collared shirt and jeans that shows of his toned build (144 lbs). He's also let his dreadlocked hair down and put on a pair of stylish sunglasses.",he/him,Human,Perseverance
Nasser Sayid,155487148294799360,1336198111692980224,54c59be9-f295-47b6-8a0b-fb7cdcf90e45,Appears to be a young adult.,https://i.imgur.com/pCoKFI5.jpeg,,General of Nezmira,"- A ""Legendary"" figure from Nezmiras past, he has been summoned thanks to a wish most powerful.

- His inability to fulfill the wish has caused his very being to be corrupt and so does have the wish itself.

- After laying the girl who wished him into this world to rest, he took upon a new wish, to vanquish the Kiir.

- Wandering the desert wastes of Nezmira, he was backed into a corner by the very same creatures he has sought to vanquish, before being lifted away in a realmstorm to safety. However his bloodthirst for the Kiir is insatiable.

- His history revealed, Morning Glory shed their previous form. He'd take up their old name and identity as General of Nezmira, Nasser Sayid, the first so sing the song of betrayal.","The Blue City, Nezmira",,"Nasser Sayid appears to be of human descent, standing at about a formidable six feet in height, although at a closer glance one could discern that his irises shimmer and shift between blue, pink and purple.

After a fated confrontation he now wears the garb he met his grizzly end in, dressing in blue and red fabrics which cover an armor accented with gold. Upon his shoulder rest a carcass of a Kiir.",He/Him,Human,Duty
Neishin,906579876792918036,1331997226133749760,c0ede365-df4d-4616-baeb-20329b70e3c1,20,https://i.imgur.com/RPfnLRu.png,#999DA0,Lone Wolf Trying to Survive,"Was abandoned by her original pack and left to die when she was brought to Kuzunoha, who offered her a chance to live should her gift be accepted. As Neishin, the name she adopted with her new form, is here and alive its clear that she took this gift. She was never truly welcome in any yokai village even if they were willing at least least give her shelter when needed, it never lasted for more than a few days. But she has since spent her time wandering fighting against Vanagandr's wolves and Alds to bear his mark. One such occasion she was caught and to be turned into a ritual sacrifice when a new voice offered her gits to help her escape should Neishin continue to amuse them by defying Vanagandr, once again not wanting to die Neishin accepted these gifts and broke free of her captors. However she still wears the collar and a manacle as a reminder she will likely never be truly free.",Aldistir,,"Neishin stands on the shorter side of around 5' with a neutral to angry expression on her face. She wears fairly plain worn and tattered clothes as well as an iron collar and manacle that she refers to as a reminder. Both her hair, which has streaks of white in her bangs, and tail are a dark grey that fade to white as it reaches the ends. One of her ears clearly had a piece taken from it as one point, she also has a scar over her left eye which is pure white unlike the golden brown of her right. Her left arm is notably completely wrapped in bandages.",She/Her,Yokai (Wolf),Rebellion
Nemik No.3,312749945780174849,1179841082255749120,f3f089c1-81b4-46d5-9d4a-f5e3eedf256c,118,https://media.discordapp.net/attachments/1179610873271177236/1179827490911441056/nemik_no.3_.png?ex=663b0539&is=6639b3b9&hm=4fbb69ae996f0b74f4fc295b7288cb5e334f5fbc02bd860192303027e3fbc82a&,,Shield to all a sword to none,"Having spent the last few years wandering and defending people from power hungry mages and magical creatures. Nemik now finds themself here. Having the name Nemik No.3 because the placard they awoke next to. Only the memories of moonfall, glimpses of their unspoken  past, and the desire to protect: keep them moving along in this world they barely understands anymore. 

""Only need paid in a meal and a stable to rest in.""  -Nemik No.3",Kor' Tarion,,"Blue grey skin that when in her mutant transformation becomes ghostly and moonlight like, a long tail with four tendrils at the end that they use for spear flourishes and unexpected strikes. They stand 6'8 and near 220 lbs",She/They,Elf,sacrifice
"Nicholai ""Romer"" Aivar",794107361178550294,1277979810186006528,05e84647-20ec-40d9-94eb-170076fb6843,28,https://imgur.com/8PbtEUv.jpg,,An amnesiac Marksman,"HGe doesn't remember much of anything from the time before he found himself in the middle of nowhere nor his actual name, Romer was the only thing he found that gave him any meaning after he crashed with his exoskeleton. With his training still being fully engrained into his mind and body as the only things remaining to him, he set out to reclaim that which he lost regardless of the cost it may bring to him.",Merrane,,"Nicholai is a red haired with bottle green eyes, with a tanned slender build, though he is rarely seen outside of his exoskeleton and without his helmet. Standing in at 5'7"" and weighing 121lbs.",He/Him,Human,Precision
