Name,User,Message,Profile,Character Art,Character Bio Link,Character Sheet Link,Class List,Embed Color,Level,Origin,Other Names,Physical Description,Quirks,Rare Equipment,Related Arcana,Story Summary,Theme
Msrah,299015281853071360,1336106232775311360,064e51a8-8cfb-44cd-8cbb-2ed4d4fd2631,https://i.pinimg.com/564x/70/60/0b/70600b0e9fc297e129b81f26be6027d2.jpg,,https://docs.google.com/spreadsheets/d/1dOD4jcliQrpdt34pLd6DSAxzhhnnDZicIDSmEYNWajM/edit?usp=sharing,"Dancer - 7
Weaponmaster - 1
Floralist - 1",,9,Nezmira,,"A younger-looking man with loose-fitting linen, Msrah is often seen with a spear by his side that he wields as if it were a dancing partner more than a weapon. Though he has a very lean figure, he has developed muscles that come with years of manual labor.",,,,"- He was one of many children who lost their parents, either due to illness or combat. He was given few freedoms during this time.
- Sold into slavery once he was able to perform manual labor, specifically in the Romani house.
- He found solace in the arts like dance that were used for entertainment but he rarely found freedom to practice it for his own enjoyment.
- While he was treated better than most slaves due to the Romani house, he still was a slave and knew little beyond service.
- Eventually was urged by his owner Sloan to join her with the Goldhearted on to the ship, which occurred on a mission.",Freedom
Murdoc Allweather,210992769890648064,1195057910015856640,bc5dda08-cca2-4619-9c72-82aba6fdca63,https://media.discordapp.net/attachments/890130934702153798/1193701857080639508/87a028f84751079abbf4e1d1569fce7c.jpg?ex=663b65bc&is=663a143c&hm=3bb17e3632b102c72eafced6f5fe00a01555efa909f41f33ead11107bb21b4c0&,,https://docs.google.com/spreadsheets/d/1pcR4gZIr3uZYics1NyYFTMWVC8WrEMzztRXyvou-Xak/edit?usp=drivesdk,"Mutant [3], Sharpshooter [1], Darkblade [1]",,5,"Little Ottington, Lhodos",,"A tall, muscular man standing at 6 feet tall. He has long, messy black hair and brown eyes that are almost always accompanied by dark circles underneath. If he does transform, he grows to be nearly 7 feet tall, and shaggy black fur covers his new wolflike appearance.",,,,,Belonging
Musashi Shiori,169795599758131200,,fe4775b5-55e4-4477-9128-6f48fbf13bfc,https://i.imgur.com/V7Oftjk.jpeg,,https://docs.google.com/spreadsheets/d/1H3_Hn0PfChYBp5FxcuFY8TBT4PjWAiFS0EPBj5tZVis/edit,"Weaponmaster ★
Arcanist ★
Daoist ★",,30,"The Zoumeng, Tian Yin",FKA Horoko,"Shiori isn't outwardly a terribly intimidating presence. She is calm and quiet, often seen smiling when not in the middle of a battle. She wears a simple blue kimono and hakama, and carries a rather nondescript katana at her left hip. She'd almost be easy to miss if not for the striking white hair and icey blue eyes that make even her smile just a little disconcerting. Still, she seems harmless enough, and her light, cheerful voice always speaks words of encouragement and cheer.

Shiori stands with a confident posture. If there is one thing that she is sure of... it is that she is one of the best Swordsmen of any land she stands on.","Cognitive Spectre (Living Dao - Resistance Dark and Poison, Vuln Fire)","Senbonzakura (Katana w/ Multi)
Katon's Katana (Katana w/ Undodgeable)
Yami to Hikari (Katana w/ Inexorable Strike)
The Dao (Sword w/ Intent Quality)

Intent: When you target only your Cognitive Focus with an attack with this weapon, it loses its damage type, and the Accuracy check is made with a boon.","Musashi, Yubel, Yebisu","* Was found in Hanae at roughly 4 years old with no memory of parents.
* Original guardians were disappeared. She became a vagrant.
* Was kicked out of Hanae during a food shortage :(
* Was found in the forests by Musashi!
* Trained by Musashi
* Returned to Hanae 4 years later
* Had helped keep the village safe in exchange for shelter
* Yoinked by the Worldhelm while scouting the forests.",Ambition
Mutt,886623433306288158,1362034179507884032,eb2ad667-ba4e-4150-af41-210331ddc9eb,https://i.imgur.com/nxeLP56.png,,https://docs.google.com/spreadsheets/d/1qWYWIJJzmfEhgN_2LpRO9uKBw3m9J5MVIKiusF_EK3I/edit?usp=drivesdk,"Sharpshooter 2
Rogue 3",,5,"Bazaar, Aranova",Mathias Castilho Teixeira,"A lean canine beastkin with black fur, blue eyes, and a lonely, taciturn aura. He sports a practical Drifter outfit, invariably along with a colorful poncho and a wide-brimmed hat.","Heirloom
> __The Sinner__
> Flaw: ""There's a lot of people who would like to take that rifle off your hands. Vigilantes, treasure hunters... And the ones loyal to the man whose corpse you pried it off of.""",The Sinner • Heirloom Firearm • Finisher,,"Once, wanted posters of one Jesse Blackburn, along with his infamous Knucklebone Gang, dotted the walls of every town in the wastes surrounding Bazaar. But five years ago, Jesse Blackburn was found dead in an alley, shot by one of his own men, and the gang scattered to the wind.

For years, nothing was heard of the traitor who killed Blackburn... But a couple months ago, that man-- Mathias ""Mutt"" Teixeira-- appeared at the counter of an adventurer's guild outpost, seemingly looking to make amends for his past. Why he did what he did back then, or why he has returned now, is anyone's guess, but one thing is certain: Mutt can't run from his past forever. One of these days, it's gonna catch up to him, and he best be ready when it does.",Redemption
Myeongjun Shin,66337541518790656,1354828699681165568,62983454-a420-44ef-85a5-c7d2d2f836c9,https://i.imgur.com/wmmoGtL.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1340112001199898636,https://docs.google.com/spreadsheets/d/18WtCOfAaHP0XR-z4uixl3--RLALAg2agCZR0gJC1J00/edit?gid=0#gid=0,Sharpshooter 2 / Commander 4 / Wayfarer 4,#c89cd4,10,"Heartdom, Kaiway",ᵀʰᵉ Hegemon,"Myeongjun is a reedy, almost malnourished-looking boy, who has little presence despite standing at 6'2"". In his weapon form, he appears as a light machine gun.",Regal Vessel,,,"The boy formerly known as Myeongjun Shin grew up an isolated and quiet kid among Heartdom's mossy skyscrapers. He found comfort in scavenged electronics, but the specter of Vanagandr and the grand designs of Lilith always loomed over him. Unable to stomach the idea of staying idle, he enrolled in the academy, and threw himself into the House of Blades.

In becoming a Regal Vessel, the Hegemon has chosen to surrender himself to the convictions and judgements of both Sylvaine, his childhood friend, and Lilith herself. And now, he surrenders himself anew to the Worldhelm and Yubel. But it can't be that bad. They all probably know how to save the realms - or at minimum, they sure know a lot better than he does.",Duty
Myffa Sirrokh,464911746088304650,1349899102036561920,ff7d6cf6-5a97-4efa-ae56-6bff40dd2bad,https://i.imgur.com/X8nxHCa.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1328385389886443600,https://docs.google.com/spreadsheets/d/1c_czYnsXAVNvJRHFFOYMga34U-IURtM6yfWAPvXIgqA/edit#gid=0,"Invoker ★
Dancer ★
Rogue ★
Empath [4]
Weaponmaster [2]
Elementalist [4]",#02e964,40,Nezmira - South,,"5'6"" athletic woman with burn scars on her face and arms. Nowadays her clothes are rather colorful and with quite a few magic accessories like rings, pendants, bracelets, etc.",Demonic Empowerment (Modified Neo-Human),"Mindful, Snakeskin Vest
Energy Vamp, Brutal Counter, World Saver, Forged Frostbite
Spítha Eris, Hellbound Collar, bunch of resistance",,"- Daughter of a secretly magic blacksmith from Nezmira
- Gets burned when father fights slavers with magic sword
- Becomes a mercenary and artisan while using the sword
- Got on the Worldhelm when she would die in a sandstorm
- Called mostly for Kor'Tarion, so ends up involved with it
- Enrolled at Hudal Academy and became a hyperbeing with magic
- Dating Atee, the Demon of Desire, as their priestess in Ironholde
- Almost got her free will taken away by Atee, but was saved
- Gave her soul to Atee, but was saved by Dreamweaver making Atee able to love",Faith
Nai Ki'tari,247940619022893065,1350231806871605248,e39349b1-dc7e-4a41-93f6-1b81e2244db5,https://i.imgur.com/LglBjef.png,,https://docs.google.com/spreadsheets/d/185URJa5izjUwu9or03ltkA-JQ-gIB7bbHuew7reW07I/edit?usp=sharing,"Elementalist [10]
Entropist [10]
Spiritist [2]
Chimerist [2]
Wayfarer [1]",,25,Kor'Tarion,,"Naiki'tari is a 5'7'' feline eared, tailed, and eyed man. He has short shaggy black hair, gold colored eyes, a white tipped black tale, and lightly tanned skin. They normally wear heavy white and black robes and other adornments, such as a wide brimmed hat, and heavy boots and gloves.",Mysterious Grimoire [2/10],"- One Wish's Hearth
- Shard of the Philosopher
- Submission Wraps
- Bonded Bracelet",,"- In the far north of Kor'Tarion's Realm of Faeries, there was a tribe of feline eared humans. As a culture, they revered and worshiped magic.
- In the lead up to the moons collapse, the tribe was entirely wiped out. Their will to understand and claim all that is arcane remaining, however, as their last sentiment in the lands they lived.
- Seventy odd years later, Nai awoke in a clearing at the eastern edge of the Gwaed. Little memory to be had, he stood, and began to walk. All he had was a yearning to understand magic, and the collective skill of his peoples last will.
- This condensed memorium come sapience is on a clock, fading slowly with time, reclaiming more memories of his past life with each step he takes towards his end.",Hope
Nameless,321875283147751424,1303489807342899200,fd16ff6d-700a-4ad1-bccd-6a24e340339f,https://i.imgur.com/2I6mTrt.jpeg,,https://docs.google.com/spreadsheets/d/1K8Wp0oqTww_RlcCBuEyZ1EyLcbJWrF7iayyFpbiiUuc/edit?usp=sharing,Weaponmaster/Fury,,5,Tian Yin,,"A tall, thin girl with wild red hair and a permanent scowl, often wearing a set of red handwraps. Her frail appearance belies her physical strength.",,,,,Purpose
Nanashi,95487748466544640,1362536445486829824,279792dc-51a1-41e5-9c2d-49a9f592e2c4,https://i.imgur.com/A57jd3F.jpg,,https://docs.google.com/spreadsheets/d/1Jq167Kg0XdVYrJQaO4ouTV8FJFm45QLaOeNwRFGsCtQ/edit?gid=0#gid=0,"Arcanist 2
Weaponmaster 3
Fury 1",,6,"Aldistir, Wing-Tree Village",Wandering Oni,"Hair: White
Eyes: Red
Height: 165cm (5'5'')

A young woman clad in armor, with snow white hair and dark horns that protrude out of her head that contrasts with her hair.

Though she might be smaller than other Oni, she is fierce and should be vary of what kind of smile she wears for you!","*QUIRKLESS, BABY!*",,Lilith,"* Was always a fighter, whether against bullies or those who deserved it.
* Thought Kuzunoha's war was pointless. Doesn't believe in harming others who are not involved or are innocent
* Left to seek out Nimue, fighting her way there with glee and joy. Caught the attention of Lilith. Accepted her deal, and bound her power.
* Took shelter in a Blizzard when a Realmstorm came and snatched her up.",Battle
Naomi Falken,142973642093887488,1361665114390003968,23aee3a8-b559-41fd-8a7a-15a76a4347d8,https://i.imgur.com/NNgf2xO.jpeg,,https://docs.google.com/spreadsheets/d/1aK80hjuulIFQrsSH8OaMu2cgWoxzAQsKmb0hTNr8Bzo/edit?gid=0#gid=0,"Darkblade
Esper",9c0c01,5,"Pikeway, Lhodos",,"A rather muscular figure, Naomi's signature characteristic is her flowing long red hair, which reach below her torso.

She usually only wears baggy and comfy clothing, enough to protect from the elements but still be comfortable enough to fight.","Heirloom - Remnants of the SCYLLA

A remnant of Naomi's mech while she was under the KPLA, this sword was the one used by her vehicle. When she awoke her esper powers, she channeled her trauma and psychic backlash through the steel of the blade, binding herself to it.

FLAW: The Remnant can flare in painful headaches that can induce blind rage or confusion in Naomi",,,"- Once a Drake for the KPLA
- Found a prototype mech and stole it from Merrane
- She was not skilled enough to pilot it, and lost it in battle
- During the same battle, awoke Esper powers 
- Was deemed unfit for field work and decommissioned from the KPLA
- Was picked up by a Realmstorm while wandering Lhodos in search of purpose.",Belonging
Naomi Ohm,247940619022893065,1358201095939166464,ffef9355-a264-458d-b6a5-a841d6702297,https://cdn.discordapp.com/attachments/1317990545242722334/1355820934543577210/Fia5GKOaYAARQrS.png?ex=67f2e3e4&is=67f19264&hm=51e1c46e217a592116bc4c81040e746f6faaaca38a3e6c8d94d08dfde6e05efe&,,https://docs.google.com/spreadsheets/d/13gveF7RgYU9bmPoGOePih4CZdFxXBKcb3Wl03OxemCE/edit?gid=0#gid=0,"Malefactor, Weaponmaster",,5,"Secura, Terra","""DP - Unit #13""","Naomi is a short (5'1''), stout, gentle looking girl. She has a permanently soft, unassuming expression. She wears heavier clothing, that covers her near completely and carries around a complex sword folded a number of times on her back. Her tail pokes out the back of her coat, and grey ears poke out beneath her hair.","Heirloom:
- The Debilitation Blade is a terrible tool, used to inflict mass suffering. It's old, and unrefined, so it doesn't fully accomplish it's goal. However, the weapon is prone to causing collateral damage. Causing structures to collapse, harming bystanders, and jeopardizing missions.",Heirloom: Debilitation Blade Mk. 0.1 ✦,Seraph,"- Naomi is a soldier, trained as a temp from a relatively young age as part of a course for the children of soldiers and mercenaries. 
- As a result of her honors in the program, she was given the Debilitation Blade. A simple, blandly named weapon. It was a prototype meant to be armed to the whole graduating squad, and she would be employed by 100G. 
- However, the project director was killed, and most of the weapons were taken. She escaped with hers, and has worked as a mercenary wracked with guilt and hopelessness since.",Direction
Nara,419689143443128321,1364602543509995520,574fd2a4-5203-44b0-b146-987759b28704,https://i.imgur.com/0hdmDuK.jpeg,[Nara's Bio](https://discord.com/channels/1169852846083153941/1170111183869706362/1308868326394691706),[Nara's Sheet](https://docs.google.com/spreadsheets/d/18cSa3D-xfCbpauN4EfB1A0lc5Etf7v224QCJG1kaArQ/edit?gid=0#gid=0),Commander [★] | Symbolist [7] | Wayfarer [6] | Sharpshooter [2],#964B00,25,Aldistir,,"An incredibly large vulpine beast standing at a towering 6' 3"" on all fours. Its body seeming to radiate with shadows that dance along its form. Its eyes white orbs with a slight glow to them and a pair of massive horns adorn their head.",The Beast Who Spoke,"Advanced Bow Matrix - Custom Weapon: Energy Vampire, Transforming - Form 1: Magic Def Boost, Def Boost Form 2: Elemental, Powerful
Commander's Claw Pendant - Pinned Piece",,"- A vulpine yokai who was once part of ""The War of Fox and Hound"".
- Was sealed away at one point and was eventually awoke when a follower of Nimue broke the seal.
- Sparred with the one who freed them and would have lost had they not spared them.
- Was forced to make a promise to guide and help those who need it in return and has wandered Aldistir to attempt to do exactly that.
- Had an old pact brought around to payment and became an entity known as ""The Grim Welder"" adopting a more shadowy form. An entity capable of reshaping death and bringing a new cycle of life and who acts as a guide to the souls of beast who have received Kuzunoha's blessings. Due to the recent gain of these powers however they are currently ""leashed"" by Kuzunoha.",Guidance
Narantsetseg,163635515386626049,1327700894522937344,ef301b69-22e0-461b-a6aa-57c1fed49430,https://i.imgur.com/PJ0lAJb.jpeg,https://discord.com/channels/1169852846083153941/1170111183869706362/1326337404415643659,https://docs.google.com/spreadsheets/d/1NeLFQyp3N3q435Hca0GX29iPvCgKsninL8hoWHBxfVU/edit?usp=sharing,"Weaponmaster 3
Arcanist 2",,5,"Tian Yin, Leytik, Daringanga",,"She stands at 5'7'' with long dark hair in a half-updo'd bun. She wears a usually stoic yet serious expression, and simple, practical garments of leather and cloth for both proper warmth and maneuverability. With rough hands, she wields a heavy and ornate halberd, standing stalwart and focused.","Heirloom
Baihu's Spear
Drawback: Empty Hand monks don't like other cultivations, and so if they see her metal cultivation, there will be conflict.",Baihu's Spear,Baihu,"- Came from the Temple of Growth with the Empty Monks, but showed aptitude for Metal cultivation
- Monks didn't like that, and so she left on a caravan guided by Goldhearted to then settle in the established village Daringanga
- Took up the practice of Holy Harmony with her bonded Organa Baatar
- Is learning Metal cultivation through a Jade Slip from Baihu, and was given his spear",Balance
"Nasim (""Viper"")",140811574737764352,1364577506409054208,1f24f9f3-1351-41e4-b4f5-3f4415c07a7f,https://i.imgur.com/KO2cK6r.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1340563060544376895,[I must plot my *own* path through the sands...](<https://docs.google.com/spreadsheets/d/1HpWZO5OrBlAn41FW7paFDiB32wcmdR0cicNxJheYjHw/edit?usp=sharing>),"Pilot [8], Rogue [★], Tinkerer [★]",#E0A615,28,"Windhaven, Nezmira","Nasim ibn Khaled
Nasim of Windhaven
""Viper""","Nasim stands at around 5'10"", and has the dune-tanned skin one would expect of a human native of Nezmira. 

In his Terran drip, he's rocking a tailored collared shirt and jeans that shows of his toned build (144 lbs). He's also let his dreadlocked hair down and put on a pair of stylish sunglasses.",,"[Viper's Vest](<https://discord.com/channels/1169852846083153941/1208284413864189993/1304333165292425257>)
[Desert Fang](<https://discord.com/channels/1169852846083153941/1170946655940530217/1324427636302413844>)
[Ugly Duckling's Golden Feather](<https://discord.com/channels/1169852846083153941/1188741294793691186/1236380471814914219>)
[Cleaning Checklist](<https://www.legendkeeper.com/app/clohkxnb34fbj08439mobcmjv/clu35jcsz000g3j6i2agpszp6/>)
[Chariot Module](<https://www.legendkeeper.com/app/clohkxnb34fbj08439mobcmjv/clyep8j1q0013356lcr0c39ls/>)
[Sidewinder](<https://discord.com/channels/1169852846083153941/1352517500545536043/1352682589650948168>)",,"- Born in Windhaven, the City of Sandsailors.
- Sandship racer under Mustafar, the Racemaster of Windhaven, like his late father before him. Trusted enough that the Sand Serpent was a semi-permanent loan.
- Went into smuggling with Auro Benites, and continued after Auro left to join the Revolutionaries. Some of the smuggling jobs were to get people safely to the Blue.
- Was caught out by Nezzim patrols when returning from one of those trips, but a Realmstorm brought him to the Worldhelm. Suspects that Mustafar may have ratted him out, but he has no proof.
- Has pivoted towards being a sandship artisan rather than just a racer during his time on the Worldhelm. Recently reached a breakthrough after lessons from Huong Jin and Kurso Armstrong and exposure to Terran tech, allowing the Sand Serpent to fly.
- Considers the Sand Serpent his own sandship now. And with Mustafar dead after the liberation of Windhaven, there's no one to contest this.",Perseverance
Nasim ibn Khaled,140811574737764352,1364577407704502272,6e45cb17-d604-4758-96ed-3c3b3cc55845,https://i.imgur.com/4tSc5nF.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1340563060544376895,[I must plot my own path through the sands...](<https://docs.google.com/spreadsheets/d/1HpWZO5OrBlAn41FW7paFDiB32wcmdR0cicNxJheYjHw/edit?gid=0#gid=0>),"Pilot [8], Rogue [★], Tinkerer [★]",#E0A615,28,"Windhaven, Nezmira","Nasim of Windhaven
Nasim
""Viper""","Nasim stands at around 5'10"", and has the dune-tanned skin one would expect of a human native of Nezmira.

He dresses finely while in town in order to put on a good impression for anyone watching.

Outside of town, he prefers more sensible clothing to cover up fom the burning desert sun. He is clean shaven and styles his dark hair in dreadlocks, which are tied back into a bun or ponytail during races to avoid catching on anything.",,"[Viper's Vest](<https://discord.com/channels/1169852846083153941/1208284413864189993/1304333165292425257>)
[Desert Fang](<https://discord.com/channels/1169852846083153941/1170946655940530217/1324427636302413844>)
[Ugly Duckling's Golden Feather](<https://discord.com/channels/1169852846083153941/1188741294793691186/1236380471814914219>)
[Cleaning Checklist](<https://www.legendkeeper.com/app/clohkxnb34fbj08439mobcmjv/clu35jcsz000g3j6i2agpszp6/>)
[Chariot Module](<https://www.legendkeeper.com/app/clohkxnb34fbj08439mobcmjv/clyep8j1q0013356lcr0c39ls/>)
[Sidewinder](<https://discord.com/channels/1169852846083153941/1352517500545536043/1352682589650948168>)",,"- Born in Windhaven, the City of Sandsailors.
- Sandship racer under Mustafar, the Racemaster of Windhaven, like his late father before him. Trusted enough that the Sand Serpent was a semi-permanent loan.
- Went into smuggling with Auro Benites, and continued after Auro left to join the Revolutionaries. Some of the smuggling jobs were to get people safely to the Blue.
- Was caught out by Nezzim patrols when returning from one of those trips, but a Realmstorm brought him to the Worldhelm. Suspects that Mustafar may have ratted him out, but he has no proof.
- Has pivoted towards being a sandship artisan rather than just a racer during his time on the Worldhelm. Recently reached a breakthrough after lessons from Huong Jin and Kurso Armstrong and exposure to Terran tech, allowing the Sand Serpent to fly.
- Considers the Sand Serpent his own sandship now. And with Mustafar dead after the liberation of Windhaven, there's no one to contest this.",Perseverance
Nasser Sayid,155487148294799360,1342711413751287808,6d247f9f-b37b-4581-9608-0ffcb827b46f,https://i.imgur.com/pCoKFI5.jpeg,,[General of Nezmira](https://docs.google.com/spreadsheets/d/1K0ObQvB6kucZvETF9iq34HcEBhUYJ8XKQWSlIWpP2dU/edit?usp=sharing),"Light blade 1 
Weaponmaster ★
Fury 1
Floralist 6",,18,"The Blue City, Nezmira",Morning Glory,"Morning Glory appears to be of human descent, standing at about a formidable six feet in height and his face bears the marks of experience, with faint scars etched into his features. His eyes are his most mesmerizing trait—violet and ever-changing, like shifting dreams or galaxies contained within, giving him an otherworldly allure.

After a fated confrontation he now wears the garb he met his grizzly end in, dressing in blue and red fabrics which cover an armor accented with gold, while upon his shoulder rest a carcass of a Kiir.

The overall vibe is mysterious, and dreamlike, as though he carries a heavy destiny or magic that ripples beneath the surface.",The Long Dream,"Old Empire's Counter ⬥ (1200z)
【DEX + WIL】+1 ⬥ 【HR + 8】Physical
Sword ⬥ One-handed ⬥ Melee ⬥ Brutal Counter

Brutal Counter : When you deal damage to one or more creatures outside your turn during a conflict scene, you deal 5 extra damage to each of those creatures.",,"- A ""Legendary"" figure from Nezmiras past, he has been summoned thanks to a wish most powerful.

- His inability to fulfill the wish has caused his very being to be corrupt and so does have the wish itself.

- After laying the girl who wished him into this world to rest, he took upon a new wish, to vanquish the Kiir.

- Wandering the desert wastes of Nezmira, he was backed into a corner by the very same creatures he has sought to vanquish, before being lifted away in a realmstorm to safety. However his bloodthirst for the Kiir is insatiable.

- His history revealed, Morning Glory shed their previous form. He'd take up their old name and identity as General of Nezmira, Nasser Sayid, the first so sing the song of betrayal.",Duty
Neishin,906579876792918036,1365729382223577088,afc9a5dc-07ec-4b51-866c-6db9b13006a7,https://i.imgur.com/RPfnLRu.png,[Neishin Bio](https://discord.com/channels/1169852846083153941/1170111183869706362/1331997226133749792),[Neishin Sheet](https://docs.google.com/spreadsheets/d/1uyZD5pJhOslxAgyTZDB-0ZFUHWvTUzdwkqt30cK9Z6k/edit?usp=sharing),Mutant ★ | Arcanist 3 | Weaponmaster 2 | Dancer 2,#899499,17,Aldistir,,"Neishin stands on the shorter side of around 5' with a neutral to angry expression on her face. She wears fairly plain worn and tattered clothes as well as an iron collar and manacle that she refers to as a reminder. Both her hair, which has streaks of white in her bangs, and tail are a dark grey that fade to white as it reaches the ends. One of her ears clearly had a piece taken from it as one point, she also has a scar over her left eye which is pure white unlike the golden brown of her right. Her left arm is notably completely wrapped in bandages.",,,"Vanagandr (Aldistir) - ""Betrayed"", Kuzunoha (Aldistir) - Is a Yokai, Lilith (Bound Arcanum)","- Was formerly known as Villr while she was a wolf.
- Was abandoned by her pack when she was injured and dying for being ""weak"" and passed out from exhaustion and injuries.
- Awoke to Kuzunoha offering her the gift of becoming yokai, which she accepted as she was not ready to die.
- Travels from yokai settlement to yokai settlement as they do not trust her but will give her place to rest as she did receive Kuzunoha's gifts.
- Actively seeks to rebel against Vanagandr and his followers.
- Was captured and intend to be offered as a sacrifice to Vanagandr in a ritual, but was offered gifts by Lilith, should Neishin continue to amuse her by fighting Vanagandr.
- Still wears the collar from when she was imprisoned as a reminder that she isn't truly free because of her nature.",Rebellion
Nemik No.3,312749945780174849,1192230045981348096,df929e02-2109-4559-bac0-9ce864efd31d,https://media.discordapp.net/attachments/1179610873271177236/1179827490911441056/nemik_no.3_.png?ex=663b0539&is=6639b3b9&hm=4fbb69ae996f0b74f4fc295b7288cb5e334f5fbc02bd860192303027e3fbc82a&,,https://docs.google.com/spreadsheets/d/1bxxOtVE2W16iUZNCIzQQD8MGiFvxCwPOwcC7a_GPF64/edit?usp=drivesdk,"Mutant (8) , Weaponmaster (2) Entropist (2)",,12,Kor'Tarion,,"Standing 6'8 and 218 lbs with teal skin, elven ears, and a prehensile tail. Nemik No.3 Doesnt say much most of the time and typically only shares company with those they respect. They can be found typically either reading or training.",,"Iceterror Mantle 1,000 z
At the start of your turn during a conflict, you may have each creature present on the scene and suffering from the weak status effect lose 5 Hit Points",,,Sacrifice
New World Quail,177644371695501312,1183088529178370048,46da4499-7163-47ef-b076-d14e42c09386,https://media.discordapp.net/attachments/926219325856153690/1182550986506645514/Samurai_spear.jpg?ex=663b0a6d&is=6639b8ed&hm=d7a669e68ed15f99ee849baaf5fcf2eea5c06ee94b98cee83438ccf801f56f56&,,https://docs.google.com/spreadsheets/d/1Ze0pHJXveqo6mSA_ot6nh4DTUEooXOFrzFStGagUZoI/edit#gid=0,"Elementalist - 1
Guardian - 2
Weaponmaster - 2",,5,Kor'Tarion (Thanheim),,"Soldier that rarely takes off his helmet to show his face, though it is musky with possibly days of sweat building behind it. The iron caked blood on his armor hides his own smell coming from his 5' 11"" and 196 pound frame.",,,,,Worthiness
Nico Bastion,1246161526348320848,1362900800493326592,bc515b20-13cb-45ec-95a3-40f0f3788fec,https://forum.treeofsavior.com/uploads/default/original/2X/8/851b00ee020727ce79ec50d2adec9b389c135a29.jpg,,https://docs.google.com/spreadsheets/d/1yS1jm-0HzrLVRGg1ZgwEDoIXSz-kiri4dy0tuei6Qfo/edit?usp=sharing,Guardian10/Fury10/Weaponmaster10/Arcanist1/Dungeoneer1/Lightblade2,,34,"Skamos, Nezmira",,"Always smells like Dr.Squatch shampoo/beard products. Big boy, standing at a solid 6'5"", carrying two massive frickin' shields and a suit of Lunar plate armor he polishes every day. Big golden retriever vibes, and LOVES Gyros. Full name is Nicholas Integro Concherto Omario Bastion. Has developed a secondary shield that looks to have Gargantuan Sand worm parts layered like a hundred fold cake. Walks with the weight of atleast 50 Kaijus on his back and is disturbingly fast(Can run roughly 60-70mph) for his size. also if he takes the helmet off he looks like josh groban

Heroics: Indomitable, and New Bulwark",,"Mangiatore Di Montagne,
The First Line of Defense, Soldier's sandals, Spear-Catching Shield",,"Was born into a large family of 15, and after years of physical labour, Nico was found to be the only Surviving member the next day at the age of 9. Why it happened was For reasons unknown, But Nico has since been known as the self proclaimed People's Shield *(No relation to the actual tavern)* to prevent events like that from ever occurring again.
Nico has since fought Electrical Leviathans, Gargantuan Sandworms, Titans worthy to swallow mountains, and been to The Kortarian Moon by accident using only his Brute Strength alone.
He is now focused on Protecting the weak and Fighting Giant Monsters on the Daily to become stronger than he was before.",Duty
Nikola Technis,251110496206454785,1311378416846770176,8572fcd7-7715-4eec-a692-328128992eb4,https://i.imgur.com/ZEGdPxc.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1311376892569452595,https://docs.google.com/spreadsheets/d/1T8Hgbj4RwQAvGlVEzwKOt2gJtSUxIA__idtjnEb1mek/edit?usp=sharing,"Chimerist 1
Ace of Cards 3
Loremaster 1",,5,"Terra, Haven, Mount Providence",,"A somewhat tall young man, has a athletic build, white hair, blue eyes and somewhat pale skin.

He wears a heavy white coat, a pair of leather gloves, a tight shirt and field jeans.",,,,,Vengeance
Nisshoku Kodatsu,1007332795141599252,1226897079301832960,678a2c9d-18d8-4eca-9992-d4df2910948d,https://images-ext-1.discordapp.net/external/Hlppz4Hjsv4PB1Bq1jFBCC12fJ16Ixyoyq0FvW25nHM/https/pm1.aminoapps.com/6917/135effb8a70ffe43be602d2f4b05a0ff7bf0d3f8r1-1200-748v2_hq.jpg,,https://docs.google.com/spreadsheets/d/1cbyYyu1-MX4KO-AWE8BqWkHrvhzeOsZNtDpG9YJiSp8/edit?usp=sharing,"Arcanist [3], Orator [2]",,5,"The Feywyrd, Aldistir",,"A six foot tall young looking man. He's lithe, light, and sways when he walks. He has a sharp look to his eyes, and a number of tails which seem to flick about on their own. He wears a dark colored Kimono, adorned with many pieces. A pair of masks, a few fans, and a holy rod.

In times of crisis, Kodatsu flickers into a new form. While the shadow of Kodatsu's standard appearance represents the New Moon, his hair shifts white, and markings glow red. This represents the Full Moon. With this change, his voice and personality change quite drastically as well. The voice gets deeper, and he becomes much more intense.",,,,,Growth
